modalidade,situacao,esfera,orgao,uf,municipio,objeto,valor,abertura,encerramento,numero_pncp,link
Pregão - Eletrônico,Divulgada no PNCP,E,,RJ,Rio de Janeiro,Mobiliários para implantação de Centros de Hidratação de Arboviroses.,0.0,2026-09-11T10:10:00,2026-09-25T11:00:00,42498600000171-1-003861/2026,https://www.compras.rj.gov.br/EditaisLicitacoes/detalhar.action?idLic=37397
Pregão - Eletrônico,Divulgada no PNCP,E,,RJ,Rio de Janeiro,Aquisição de materiais de copa e cozinha e gêneros de alimentação,210108.11,2026-09-15T09:00:00,2026-09-25T11:00:00,30051023000196-1-000168/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=92546405004212026
Dispensa,Divulgada no PNCP,F,,RJ,Niterói,"O Comando da 1a Divisão da Esquadra tem papel relevante na disseminação e concretização dos
objetivos enunciados durante as cerimônias ocorridas quando da execução das Operações Navais,
inclusive com presença de público externo.",860.0,2026-09-22T11:00:00,2026-09-25T11:00:00,00394502000144-1-012157/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79170006000142026
Pregão - Eletrônico,Divulgada no PNCP,F,,RJ,Rio de Janeiro,Aquisição de material de construção para atender às necessidades de manutenção da Base de Apoio Logístico,94643.94,2026-09-11T10:00:00,2026-09-25T12:00:00,00394452000103-1-019418/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=16023805002282026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Escolha da proposta mais vantajosa para a aquisição de tintas gráficas para impressora offset, destinadas ao atendimento das necessidades da Divisão de Imprensa Braille do Instituto Benjamin Constant, conforme condições, quantidades e exigências estabelecidas no Termo de Referência nº 114/2026.",4763.76,2026-09-21T08:00:00,2026-09-25T12:00:00,00394445000101-1-000237/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=15200406001692026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Máquinas de café expresso em grãos, sendo 01 (uma) de 127 V e 01 (uma) de 220 V.",6280.8,2026-09-22T08:00:00,2026-09-25T12:00:00,00394502000144-1-012091/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=76220006000192026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Contratação de serviços de gestão de requisitos legais para o site de Bio-Manguinhos, compreendendo a identificação, análise e monitoramento da legislação aplicável nas esferas federal, estadual e municipal do Rio de Janeiro, nos módulos de Gestão Ambiental (ISO 14001) e Saúde e Segurança Ocupacional (ISO 45001), bem como a realização anual de auditoria de reavaliação global do Sistema de Requisitos Legais",25542.67,2026-09-22T08:00:00,2026-09-25T12:00:00,33781055000135-1-001631/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=25444506004282026
Dispensa,Divulgada no PNCP,F,,RJ,Rio de Janeiro,"Materiais de limpeza para o Submarino Riachuelo e seu prédio de apoio, compreendendo o fornecimento integral de insumos e produtos adequados (como detergentes, desinfetantes, sabões líquidos, panos de microfibra, esponjas, sacos de lixo e demais itens de higienização), garantindo o atendimento pleno às necessidades de limpeza e conservação das instalações.",2997.67,2026-09-22T12:00:00,2026-09-25T12:00:00,00394502000144-1-012145/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=79150006001352026
Pregão - Eletrônico,Suspensa,E,,RJ,Rio de Janeiro,"Compra de microcomputadores, conforme especificado no Termo de Referência (Anexo I). ",19164680.0,2026-09-14T11:00:00,2026-09-25T13:00:00,28538734000148-1-000211/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=03010005006152026
Pregão - Eletrônico,Divulgada no PNCP,E,,RJ,Rio de Janeiro,"Prestação de serviços técnicos de manutenção preventiva e corretiva em equipamentos gráficos instalados na Divisão de Produção Gráfica SGCON/DEDIF/DIGRA, com fornecimento de peças e/ou componentes, conforme especificado no Termo de Referência(Anexo I).",770486.4,2026-09-10T11:00:00,2026-09-25T14:00:00,28538734000148-1-000206/2026,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=03010005005432026
